Temperature,Humidity,Battery_Level,fault
21.49,92.15,12.44,1
44.22,64.84,62.86,1
25.89,52.91,45.92,0
40.26,67.17,12.17,1
21.85,62.79,4.35,1
36.67,41.01,9.65,1
35.31,76.75,19.52,1
7.58,37.46,44.45,0
51.37,98.26,0.52,1
26.41,100.0,1.26,1
8.4,50.59,6.02,0
29.3,58.44,86.16,0
52.68,87.06,13.48,1
26.7,68.96,57.54,0
31.16,75.53,15.39,1
9.01,71.8,55.09,0
24.56,88.84,6.16,1
30.7,51.97,58.63,0
26.18,44.01,3.39,1
58.57,99.79,11.5,1
33.67,83.29,9.34,1
27.36,47.81,74.29,0
19.15,50.59,71.12,0
17.27,52.69,19.8,0
3.39,48.66,53.53,0
34.15,98.37,12.08,1
4.25,50.44,70.46,0
25.41,70.3,40.67,0
28.59,63.31,79.01,0
17.59,47.65,56.87,0
11.13,67.19,54.81,0
27.39,57.54,58.21,0
41.73,91.7,8.04,1
39.65,80.71,17.03,1
32.36,85.27,22.04,1
17.49,43.61,11.9,0
56.99,84.38,3.74,1
3.07,61.32,8.49,0
24.78,43.02,3.16,1
21.58,67.89,53.71,0
51.49,76.23,73.02,1
37.36,84.18,16.45,1
21.87,62.68,86.98,0
14.21,71.82,54.08,0
12.94,90.12,34.68,1
37.0,47.7,55.52,1
31.27,50.01,60.09,0
6.38,68.65,2.97,0
12.5,94.73,68.16,1
29.9,62.41,66.28,0
24.85,53.89,88.34,0
12.68,95.53,44.17,1
30.48,83.81,21.94,1
21.26,66.45,78.8,0
11.83,68.09,18.83,0
49.4,99.71,9.82,1
42.62,91.01,0.0,1
62.19,47.39,30.62,1
14.79,64.31,10.11,0
19.94,63.08,46.17,0
29.67,93.82,72.95,1
7.59,35.54,84.68,0
54.19,72.39,74.6,1
24.96,61.81,9.27,1
26.97,63.62,82.73,0
32.47,92.08,14.67,1
41.51,50.03,3.14,1
7.92,84.7,76.49,1
31.0,93.9,21.47,1
32.31,63.64,43.34,1
30.79,100.0,9.84,1
22.65,90.84,3.91,1
20.53,91.45,66.78,1
15.67,67.07,36.15,0
32.75,56.99,11.15,1
3.8,47.95,6.17,0
27.54,61.59,52.6,0
22.07,94.02,36.17,1
33.99,47.67,94.38,0
5.21,78.88,39.18,0
33.83,68.26,69.6,0
36.81,85.29,10.02,1
14.86,48.76,96.46,0
31.81,50.41,71.16,0
28.6,80.98,16.33,1
19.15,64.52,41.88,0
4.23,59.23,51.95,0
24.05,38.2,1.02,1
36.4,67.56,47.92,1
29.76,51.46,12.82,1
24.12,87.34,2.92,1
23.26,56.57,65.81,0
23.36,92.33,3.98,1
22.26,68.5,85.9,0
9.72,60.22,12.7,0
3.88,44.21,5.47,0
6.43,49.66,14.14,0
36.41,72.73,20.08,1
1.85,64.46,11.2,0
27.9,54.99,61.31,0
38.01,63.56,57.87,1
48.52,43.96,63.63,1
30.91,51.92,70.15,0
35.47,69.35,20.58,1
10.5,84.24,65.14,1
34.27,89.69,16.41,1
30.48,73.01,53.94,0
35.93,75.16,11.79,1
19.6,41.14,89.65,0
25.94,45.76,79.5,0
27.04,68.84,66.88,0
39.51,33.71,34.57,1
13.94,38.71,17.54,0
19.71,38.8,71.3,0
11.97,52.16,56.27,0
41.15,45.74,80.31,1
38.02,82.01,21.32,1
11.43,68.91,17.86,0
4.07,67.53,7.21,0
23.71,72.52,13.6,1
11.03,95.15,32.41,1
9.92,54.28,54.18,0
27.29,37.78,5.28,1
6.88,70.04,7.7,0
56.62,92.2,12.29,1
55.94,91.05,0.0,1
30.44,63.84,77.08,0
15.56,62.68,9.05,0
52.76,91.41,2.7,1
15.96,45.61,5.63,0
53.08,37.67,79.06,1
36.32,43.78,2.12,1
3.66,63.18,88.81,0
42.45,68.81,11.54,1
13.17,45.32,17.6,0
4.13,43.11,8.25,0
47.41,86.44,1.5,1
30.08,59.43,60.36,0
28.3,49.11,7.19,1
33.96,38.65,11.55,1
42.38,88.79,16.95,1
29.04,59.16,58.42,0
8.12,93.81,98.5,1
18.27,71.97,31.94,0
7.06,92.6,58.56,1
54.46,97.82,5.16,1
54.24,80.94,8.79,1
29.56,90.13,3.64,1
30.28,65.03,59.63,0
55.67,62.02,73.58,1
41.46,79.05,16.9,1
32.87,63.42,7.69,1
12.88,44.98,37.79,0
19.18,69.09,46.89,0
25.76,87.04,64.42,1
26.1,49.71,56.64,0
8.01,43.11,11.13,0
53.46,66.1,67.4,1
15.65,35.4,8.24,0
35.42,37.38,13.61,1
31.04,62.05,11.37,1
11.8,38.6,13.52,0
34.86,63.27,10.08,1
10.95,89.45,81.72,1
51.2,42.58,76.94,1
24.9,37.98,78.57,0
38.72,80.66,18.81,1
25.51,47.27,86.38,0
3.49,61.89,14.24,0
39.51,85.57,10.3,1
51.85,62.7,78.64,1
27.22,42.6,87.6,0
27.13,56.53,58.98,0
28.44,48.51,60.42,0
4.21,66.71,8.67,0
29.94,92.33,10.52,1
27.88,41.22,53.34,0
29.75,90.98,8.29,1
43.04,43.14,68.18,1
16.05,39.65,15.1,0
33.85,78.81,21.9,1
30.76,55.09,86.3,0
28.47,92.67,59.91,1
34.39,42.6,4.07,1
6.89,67.07,67.4,0
24.81,46.65,85.67,0
12.27,49.21,14.2,0
34.82,55.75,1.87,1
26.22,89.65,56.16,1
31.74,77.13,16.33,1
9.91,38.17,5.46,0
25.87,62.1,8.09,1
30.47,95.48,8.05,1
18.08,89.78,45.02,1
30.37,41.97,9.42,1
31.72,92.67,3.21,1
47.36,68.94,76.58,1
22.44,100.0,77.44,1
59.15,88.56,6.38,1
6.68,45.24,16.29,0
24.79,48.32,3.12,1
59.63,91.64,8.69,1
27.71,55.86,70.67,0
38.14,84.74,21.28,1
30.69,46.73,87.8,0
9.53,43.54,3.7,0
14.33,94.97,74.15,1
29.66,38.91,3.4,1
14.94,80.44,42.84,0
46.03,43.18,72.69,1
28.66,57.39,76.1,0
26.34,89.54,12.76,1
30.39,67.11,31.92,1
25.98,68.13,78.13,0
3.73,67.04,74.59,0
30.46,86.76,13.62,1
33.54,67.23,11.71,1
22.31,66.49,74.46,0
2.29,60.76,11.97,0
16.32,43.76,11.95,0
26.8,49.57,85.98,0
59.95,88.44,10.42,1
8.87,56.83,16.89,0
10.98,100.0,26.68,1
44.77,64.78,51.89,1
17.03,56.25,58.07,0
30.45,72.22,19.33,1
55.66,42.24,40.86,1
42.35,73.41,100.0,1
31.39,92.82,6.58,1
19.33,53.15,67.56,0
43.4,86.05,8.03,1
50.48,58.11,26.22,1
19.71,52.37,62.77,0
35.86,47.94,3.65,1
36.99,63.84,10.1,1
23.06,59.51,77.07,0
20.51,98.53,48.0,1
61.93,59.88,77.01,1
8.23,85.99,78.41,1
27.8,87.88,7.64,1
40.2,85.42,7.82,1
29.11,92.07,14.23,1
26.85,45.55,6.34,1
44.32,51.68,33.52,1
28.96,43.7,85.72,0
27.7,46.88,39.67,0
27.97,54.5,68.2,0
22.18,40.23,91.36,0
32.49,66.94,3.91,1
58.94,85.75,10.2,1
25.33,65.7,42.41,0
24.6,55.07,93.68,0
25.7,68.18,53.39,0
29.88,61.45,58.41,0
9.21,50.33,6.65,0
63.67,100.0,7.41,1
25.47,87.07,6.3,1
29.82,87.72,9.26,1
19.45,70.22,50.92,0
31.43,86.24,14.15,1
26.39,46.6,0.0,1
13.2,48.52,16.23,0
21.82,93.53,33.6,1
37.98,87.42,5.49,1
23.57,100.0,91.0,1
12.1,87.9,42.24,1
21.8,54.44,66.31,0
40.48,88.24,13.18,1
15.52,34.94,6.17,0
22.93,59.27,75.44,0
35.83,89.52,15.16,1
53.3,39.9,71.07,1
12.39,92.82,44.99,1
53.61,94.54,6.83,1
23.3,50.15,76.29,0
16.1,99.26,45.52,1
36.17,81.01,20.39,1
17.96,64.11,62.21,0
15.51,40.58,9.29,0
7.59,49.93,19.52,0
19.43,91.58,75.0,1
22.61,66.55,7.52,1
48.21,92.15,2.98,1
15.67,88.67,57.82,1
5.5,40.74,71.39,0
9.08,57.71,3.66,0
31.36,87.9,2.01,1
38.38,70.29,13.0,1
52.65,93.27,4.76,1
33.44,43.77,6.0,1
42.0,61.29,95.5,1
9.45,39.26,19.26,0
37.23,83.94,9.78,1
60.22,95.09,2.38,1
26.69,53.32,8.56,1
17.14,42.31,6.76,0
29.57,70.21,15.66,1
6.53,84.48,48.4,1
37.51,42.5,90.02,1
10.57,49.03,8.53,0
52.78,42.29,93.5,1
32.36,80.25,14.34,1
19.72,61.39,45.22,0
27.65,47.16,84.62,0
12.15,88.95,35.08,1
25.75,68.94,0.0,1
24.35,60.41,84.32,0
39.26,64.46,88.62,1
10.25,71.22,11.03,0
14.83,49.04,15.33,0
3.22,41.91,77.94,0
35.48,66.35,11.54,1
22.15,55.68,40.87,0
11.22,92.55,74.29,1
34.49,71.88,4.64,1
48.15,47.26,54.21,1
29.85,90.22,6.72,1
6.33,62.07,17.91,0
25.48,61.41,52.65,0
41.99,48.5,90.07,1
18.79,48.92,57.35,0
18.45,72.02,6.05,0
12.05,66.05,16.0,0
61.27,99.0,9.37,1
22.8,44.13,86.07,0
38.61,65.59,38.87,1
9.58,62.68,33.65,0
24.51,62.24,5.23,1
26.88,66.38,60.11,0
17.65,39.23,3.55,0
26.38,65.4,64.25,0
37.09,79.12,16.82,1
28.15,53.57,71.49,0
39.04,41.31,38.28,1
38.64,77.2,11.49,1
32.73,76.23,11.37,1
35.47,86.27,8.59,1
54.15,63.58,55.67,1
59.31,87.6,8.29,1
23.07,94.42,77.55,1
39.89,53.3,10.58,1
28.65,91.77,0.44,1
32.19,50.25,62.38,1
25.0,60.51,49.03,0
30.48,54.15,74.64,0
7.84,91.06,54.15,1
13.69,66.89,96.44,0
30.88,73.48,70.28,0
20.72,62.21,40.72,0
16.18,41.98,80.47,0
2.77,65.96,7.98,0
17.69,100.0,47.88,1
21.56,46.94,70.33,0
30.21,63.77,88.86,0
6.55,64.07,44.64,0
50.29,90.52,3.35,1
36.12,55.31,86.88,1
32.98,74.47,18.75,1
6.5,86.2,33.48,1
6.94,47.8,19.11,0
33.22,68.94,14.99,1
11.5,65.51,5.26,0
28.15,96.42,45.23,1
27.01,74.35,21.86,1
42.94,48.03,32.15,1
36.3,86.51,11.99,1
25.43,38.86,6.29,1
38.53,61.19,8.72,1
58.27,99.37,2.18,1
12.79,49.43,4.49,0
26.43,62.93,77.59,0
35.42,56.44,9.59,1
23.57,69.67,82.77,0
12.57,43.48,9.94,0
17.95,66.8,60.1,0
9.44,57.91,15.6,0
4.34,47.41,83.83,0
21.7,84.67,63.05,1
28.89,44.62,7.94,1
30.37,60.4,10.95,1
48.43,34.12,27.92,1
34.96,98.02,5.56,1
18.03,53.09,56.99,0
48.53,38.03,47.79,1
36.83,81.65,20.1,1
30.23,55.01,12.41,1
15.82,94.35,70.34,1
15.0,80.04,51.54,0
27.72,86.59,48.29,1
0.75,49.3,4.13,0
34.26,75.81,17.73,1
48.04,60.94,34.98,1
54.68,93.46,11.31,1
28.94,56.03,69.46,0
45.87,64.05,60.58,1
29.67,47.22,42.09,0
42.94,84.79,2.76,1
16.45,90.89,96.7,1
22.67,41.41,86.29,0
27.14,86.69,44.66,1
9.52,88.75,50.51,1
46.6,100.0,2.52,1
30.51,52.54,56.58,0
60.01,45.05,92.87,1
43.97,74.44,11.38,1
29.61,90.74,8.21,1
16.76,62.8,14.7,0
46.48,41.94,84.23,1
21.63,89.1,89.92,1
53.21,97.1,3.06,1
26.41,69.34,58.23,0
5.49,64.18,59.19,0
3.92,66.78,14.08,0
7.76,91.7,78.76,1
32.31,70.47,19.67,1
19.09,58.03,79.72,0
51.72,91.92,7.97,1
42.37,78.29,12.19,1
9.48,73.66,56.18,0
29.93,71.44,78.17,0
7.42,67.42,20.24,0
29.13,79.81,8.14,1
52.91,55.35,62.61,1
28.56,73.36,14.03,1
49.8,96.48,7.77,1
4.36,35.85,69.27,0
13.83,91.0,75.99,1
34.05,51.52,1.49,1
32.76,87.39,4.24,1
23.86,96.1,70.19,1
11.11,67.82,42.06,0
37.34,57.2,90.14,1
17.6,70.41,56.28,0
28.08,41.14,3.49,1
31.36,61.44,11.85,1
16.15,65.84,80.36,0
59.78,91.06,3.08,1
15.23,56.41,16.12,0
15.19,65.24,7.39,0
22.3,43.32,72.33,0
23.84,90.11,29.84,1
48.75,91.53,6.29,1
40.56,84.97,22.77,1
61.22,92.17,7.47,1
42.88,86.93,7.04,1
13.77,45.99,4.84,0
31.74,73.95,15.77,1
52.81,92.15,9.5,1
36.57,57.84,87.13,1
36.32,90.62,20.33,1
47.31,100.0,4.81,1
48.59,100.0,7.23,1
14.73,86.64,96.58,1
18.76,52.98,41.02,0
29.61,85.92,11.68,1
28.8,94.54,91.17,1
37.75,75.16,14.81,1
23.66,66.78,48.05,0
29.33,74.79,22.9,1
30.99,56.81,52.12,0
9.89,56.64,9.12,0
35.9,64.92,13.19,1
5.71,90.08,70.3,1
25.39,60.43,72.6,0
19.47,100.0,31.69,1
40.33,81.77,11.6,1
14.57,43.2,59.82,0
20.63,94.96,64.34,1
38.52,45.66,10.17,1
11.41,45.61,3.79,0
39.65,75.33,19.8,1
31.54,67.64,67.63,0
31.28,49.64,60.66,0
34.76,95.15,12.4,1
28.72,53.94,61.98,0
14.71,97.99,49.6,1
10.65,39.48,18.45,0
24.32,41.68,84.12,0
31.62,47.71,49.6,0
8.51,75.56,20.49,0
36.33,46.56,13.46,1
4.12,94.8,63.27,1
30.87,79.47,13.53,1
12.24,70.04,15.48,0
23.84,70.71,69.66,0
39.86,98.39,5.29,1
40.71,57.65,2.82,1
19.52,49.78,78.29,0
22.29,94.54,74.76,1
29.76,98.15,8.82,1
9.43,41.08,18.75,0
52.32,56.9,44.77,1
16.15,49.3,7.62,0
43.09,41.77,50.54,1
19.09,99.76,26.06,1
59.04,51.48,68.2,1
55.14,60.14,27.79,1
20.56,64.53,0.92,1
30.85,53.36,3.83,1
47.99,69.9,49.02,1
28.19,56.2,81.93,0
45.73,61.71,76.44,1
24.75,67.37,7.29,1
17.8,71.08,4.73,0
37.37,95.57,8.63,1
32.21,85.53,15.2,1
29.01,57.16,52.64,0
37.48,53.59,33.27,1
17.75,51.46,8.94,0
27.83,63.44,79.97,0
19.79,66.66,84.0,0
23.83,42.55,51.66,0
21.73,60.65,8.75,1
33.79,47.3,3.16,1
36.11,78.48,21.72,1
14.1,57.6,66.16,0
24.18,87.14,60.64,1
13.37,66.81,78.46,0
26.14,65.81,57.27,0
44.54,79.66,14.44,1
49.52,94.78,9.48,1
25.44,97.21,72.15,1
33.06,46.44,6.79,1
21.64,70.9,51.91,0
32.46,74.87,12.21,1
20.09,82.8,25.81,1
8.96,68.15,15.37,0
30.36,79.78,23.99,1
12.51,93.01,51.76,1
30.22,44.63,90.9,0
13.37,90.09,44.9,1
16.66,68.82,15.61,0
31.86,56.15,7.23,1
12.19,58.06,10.04,0
15.81,68.8,20.38,0
16.63,39.28,70.05,0
21.09,39.85,91.85,0
9.39,57.02,84.91,0
9.62,54.47,13.27,0
3.72,53.28,44.27,0
22.63,94.32,1.19,1
37.31,44.5,62.44,1
37.58,38.28,11.16,1
24.83,93.07,7.58,1
25.32,94.23,3.64,1
27.65,58.37,49.99,0
4.82,95.44,55.26,1
36.24,65.96,61.37,1
35.32,65.92,11.03,1
27.05,85.89,11.94,1
25.87,49.58,56.18,0
26.95,60.09,79.84,0
39.02,42.52,70.0,1
24.89,42.97,3.7,1
19.91,57.78,94.42,0
42.46,85.0,13.23,1
4.06,56.54,9.82,0
6.61,66.62,69.73,0
40.12,41.8,11.52,1
10.93,60.29,11.74,0
25.07,58.03,83.21,0
37.91,82.93,18.56,1
30.22,96.66,65.68,1
21.11,88.25,71.77,1
9.67,61.46,12.19,0
14.26,44.69,8.94,0
43.55,46.27,44.5,1
48.31,63.47,44.13,1
32.43,49.86,57.28,0
39.02,67.26,32.35,1
38.8,41.35,37.22,1
14.85,60.58,15.7,0
39.66,37.69,44.11,1
38.08,54.59,30.67,1
26.72,45.84,54.48,0
50.87,61.0,53.82,1
16.85,54.18,86.23,0
46.65,50.17,95.82,1
22.24,100.0,99.94,1
23.6,93.0,9.71,1
63.56,90.52,7.21,1
8.89,49.18,8.75,0
38.26,95.73,12.23,1
36.6,85.33,12.41,1
8.16,48.48,79.96,0
23.51,68.0,5.62,1
6.46,53.71,14.57,0
6.41,42.07,2.83,0
5.5,44.77,96.2,0
21.28,50.25,73.0,0
20.94,37.23,10.93,1
5.04,64.77,73.73,0
24.35,50.46,10.79,1
18.79,50.8,99.92,0
30.29,62.52,49.93,0
29.01,61.35,51.97,0
24.29,54.07,75.32,0
27.33,60.72,62.59,0
4.85,56.64,5.58,0
25.74,58.69,72.46,0
26.69,68.2,3.16,1
10.44,86.38,66.64,1
39.26,80.14,10.86,1
8.99,63.29,11.26,0
2.84,50.91,13.11,0
12.0,62.28,17.77,0
37.73,74.59,19.56,1
17.02,36.49,8.75,0
28.31,94.2,84.38,1
21.49,87.9,32.34,1
24.54,95.08,6.3,1
16.49,44.24,38.86,0
16.43,64.3,10.61,0
31.11,37.47,6.09,1
53.4,99.24,6.31,1
13.55,98.15,39.15,1
24.53,40.04,39.9,0
52.82,83.36,13.07,1
27.25,44.21,5.63,1
20.85,53.32,56.46,0
23.97,89.62,7.82,1
13.56,59.73,13.66,0
26.01,60.74,47.67,0
29.44,87.55,12.64,1
23.52,82.33,34.89,1
9.51,43.91,9.11,0
33.81,72.21,19.9,1
7.57,53.91,96.91,0
33.58,69.04,67.29,0
31.58,71.15,18.32,1
26.41,47.96,49.32,0
10.07,42.94,13.26,0
17.38,47.95,91.4,0
30.23,87.2,1.99,1
35.47,90.0,19.2,1
34.03,55.77,7.52,1
10.43,94.73,51.87,1
26.16,53.41,83.18,0
45.86,48.83,85.62,1
31.04,89.69,7.81,1
49.61,93.34,3.97,1
39.17,61.09,2.48,1
16.25,43.02,14.02,0
11.27,40.18,16.81,0
3.04,43.39,19.04,0
20.26,52.42,52.51,0
43.54,54.43,44.36,1
24.59,49.34,1.96,1
38.63,41.05,25.6,1
58.58,86.71,1.33,1
11.78,58.74,33.12,0
50.11,96.14,1.57,1
58.83,98.18,5.75,1
7.84,41.99,14.64,0
23.12,69.61,5.11,1
50.54,98.21,4.97,1
26.68,61.72,88.9,0
19.73,56.24,62.68,0
6.76,47.53,95.05,0
8.85,76.48,22.05,0
50.83,55.16,30.5,1
27.3,89.65,4.19,1
34.72,85.6,17.63,1
13.64,95.48,35.81,1
24.68,85.32,75.7,1
29.22,45.68,89.5,0
52.54,41.88,31.63,1
5.61,62.28,55.54,0
22.05,55.45,72.74,0
58.12,46.02,29.72,1
26.53,98.76,46.55,1
40.36,97.2,12.4,1
15.74,50.78,38.75,0
16.46,66.65,14.05,0
30.51,69.7,17.78,1
15.12,63.58,77.68,0
26.51,55.62,48.74,0
11.94,69.22,15.6,0
27.62,62.66,54.84,0
10.35,52.18,11.01,0
33.44,52.43,0.25,1
27.85,56.27,8.38,1
26.9,88.58,2.06,1
37.13,81.78,12.48,1
24.62,61.34,78.91,0
16.62,55.7,17.84,0
42.35,71.3,41.17,1
27.7,87.85,90.68,1
35.0,81.78,19.8,1
48.68,88.78,0.0,1
38.69,76.43,23.67,1
29.9,79.51,20.26,1
59.91,38.53,27.76,1
30.12,46.87,65.93,0
29.62,76.65,14.69,1
37.65,80.94,2.28,1
34.75,52.69,85.15,0
4.68,39.36,98.77,0
2.48,42.64,90.15,0
38.03,34.68,10.86,1
3.77,48.47,66.91,0
24.66,85.58,5.83,1
31.39,99.86,6.26,1
26.16,94.05,43.94,1
24.21,54.29,68.53,0
36.67,81.34,22.88,1
8.03,90.53,96.29,1
19.47,64.35,49.99,0
29.87,66.89,88.75,0
13.5,44.97,9.17,0
26.15,57.44,83.23,0
4.72,45.46,5.19,0
32.03,57.36,12.72,1
28.81,37.84,49.91,0
17.04,77.68,20.74,0
16.24,66.58,5.97,0
17.06,61.46,65.23,0
31.91,68.41,85.97,1
15.29,58.36,23.23,0
26.91,42.76,62.05,0
27.13,60.1,55.47,0
3.03,39.08,38.71,0
36.81,79.87,12.33,1
10.78,54.3,49.85,0
26.35,60.47,68.16,0
56.27,61.79,50.97,1
26.63,50.25,8.64,1
23.53,98.46,7.06,1
34.52,90.7,13.6,1
42.78,88.55,2.56,1
9.6,47.66,2.92,0
13.12,76.06,16.64,0
22.8,58.84,71.19,0
44.49,36.71,50.6,1
28.26,67.27,79.61,0
44.98,91.13,7.18,1
15.53,63.29,5.09,0
11.9,64.04,79.94,0
54.02,94.4,14.3,1
6.32,63.55,62.6,0
31.79,91.01,5.99,1
60.27,89.24,5.67,1
7.42,47.82,87.42,0
19.33,47.43,69.39,0
28.2,59.59,63.28,0
42.9,76.11,12.44,1
38.34,83.52,14.4,1
33.45,76.44,12.21,1
19.19,96.37,87.63,1
25.82,63.18,61.52,0
36.06,89.22,16.23,1
44.28,88.85,9.54,1
35.07,79.83,10.85,1
41.33,52.22,92.83,1
11.45,45.32,15.51,0
22.57,94.9,4.87,1
31.2,69.28,57.15,0
28.67,71.51,11.41,1
40.3,61.28,40.9,1
22.6,61.34,90.66,0
24.61,53.19,66.71,0
28.41,39.84,4.87,1
16.57,54.73,18.85,0
60.5,91.2,8.72,1
27.28,50.85,56.28,0
46.19,73.86,83.0,1
15.11,44.99,8.39,0
60.79,95.79,4.01,1
11.6,73.0,5.57,0
5.03,65.64,35.04,0
29.87,84.78,15.47,1
3.09,35.4,4.7,0
21.25,45.14,67.16,0
21.98,56.99,75.66,0
47.81,92.86,0.0,1
20.12,89.43,62.88,1
64.02,95.92,10.63,1
9.33,80.43,29.21,0
19.51,36.3,43.82,0
16.48,78.77,50.23,0
49.05,64.25,82.68,1
31.73,63.17,54.4,0
24.62,52.32,83.49,0
32.68,69.26,17.0,1
23.03,89.34,55.64,1
40.82,98.06,2.62,1
16.49,99.45,62.17,1
28.01,92.05,86.99,1
5.2,39.19,47.41,0
28.47,98.19,34.3,1
23.5,92.68,66.98,1
20.86,51.9,68.17,0
16.53,38.16,16.68,0
12.93,52.25,46.94,0
41.74,94.26,7.62,1
4.47,61.26,8.96,0
30.54,62.68,54.73,0
26.43,93.81,12.16,1
28.45,48.75,5.66,1
29.07,92.08,9.11,1
27.79,66.15,1.63,1
29.54,64.24,82.55,0
20.68,44.73,84.59,0
35.99,100.0,9.95,1
27.56,95.22,10.25,1
7.7,81.92,43.7,0
20.61,49.24,63.56,0
25.29,67.57,59.76,0
60.09,83.14,13.42,1
37.17,67.27,33.56,1
16.47,68.95,31.04,0
26.75,97.3,2.84,1
6.93,95.81,81.2,1
40.41,89.28,11.22,1
54.47,90.05,9.83,1
55.18,86.17,0.0,1
17.59,70.02,15.23,0
30.27,87.57,18.53,1
19.6,46.75,80.89,0
17.85,70.57,26.34,0
2.73,52.47,11.2,0
25.01,42.44,2.15,1
24.72,41.77,77.8,0
26.31,62.84,56.67,0
11.26,64.57,9.49,0
11.64,94.08,57.96,1
10.81,36.89,4.2,0
6.22,68.86,61.52,0
52.69,95.53,10.44,1
62.46,96.09,1.24,1
21.22,98.5,12.25,1
38.8,73.21,13.32,1
20.32,96.86,50.04,1
58.75,98.58,4.3,1
38.94,83.47,21.9,1
54.55,80.61,13.17,1
7.9,87.1,66.61,1
4.23,88.25,73.14,1
46.26,99.28,10.77,1
41.64,55.26,69.91,1
10.37,39.89,18.41,0
37.75,87.68,22.17,1
43.0,63.7,60.29,1
22.21,61.2,5.61,1
12.84,63.16,64.14,0
3.87,52.18,16.2,0
29.11,46.51,55.09,0
28.2,78.52,11.35,1
34.57,80.54,22.34,1
34.51,73.55,5.73,1
10.13,48.56,10.19,0
31.44,86.45,8.86,1
32.84,45.81,12.59,1
26.82,61.25,90.35,0
18.21,88.2,87.34,1
15.19,92.2,49.86,1
30.3,92.02,73.89,1
37.05,35.6,6.78,1
34.51,39.12,4.69,1
